scenario,n_runs_setting,base_seed,agent_setup,tau,beta,fx_cost,n_observations,final_gap_mean,final_gap_std,recovery_time_mean,recovery_time_std,recovery_b_mean,recovery_b_std,vol_before_mean,vol_after_mean
baseline,20,42,baseline_agents,0.0,0.0,0.0,20,12.19025000000001,0.19120170528858418,0.0,0.0,1.0,0.0,0.00021608406782167494,0.0004180631933058209
baseline,20,42,high_agents,0.0,0.0,0.0,20,12.194300000000009,0.2055260516205583,214.0909090909091,47.64127316824047,1.0,0.0,0.00030692662546233954,0.0007832836391878015
baseline,20,42,low_agents,0.0,0.0,0.0,20,6.600100000000009,1.9399447876028248,0.631578947368421,1.01162829777814,1.0,0.0,0.0003018221154249,0.005243437583365272
baseline,20,142,baseline_agents,0.0,0.0,0.0,20,12.069800000000006,0.874476661540458,0.0,,1.0,0.0,0.00015132378115617702,0.0010827550761289347
baseline,20,142,high_agents,0.0,0.0,0.0,20,12.173200000000005,0.1608901554019492,190.1,48.065811365483285,1.0,0.0,0.00031004861249131976,0.0007809396077262426
baseline,20,142,low_agents,0.0,0.0,0.0,20,6.669050000000008,1.9398764875223637,1.5,2.5026301953618404,1.0,0.0,0.0003047025156345083,0.008668312123173337
baseline,20,242,baseline_agents,0.0,0.0,0.0,20,11.777200000000008,1.9795224198089598,0.0,0.0,1.0,0.0,0.00019675463656895287,0.00046896678895312096
baseline,20,242,high_agents,0.0,0.0,0.0,20,12.17805000000001,0.1842119702950888,183.7,57.14124799321609,1.0,0.0,0.00030528004460744714,0.0007886509659892618
baseline,20,242,low_agents,0.0,0.0,0.0,20,6.804800000000012,1.5013411758543718,0.7,0.8013147091860318,1.0,0.0,0.00028784707336530904,0.007409256435172896
baseline,50,42,baseline_agents,0.0,0.0,0.0,50,12.073640000000006,0.8157758735819336,0.0,0.0,1.0,0.0,0.00016323264741720006,0.0006924530076561367
baseline,50,42,high_agents,0.0,0.0,0.0,50,12.21560000000001,0.17921415760400866,191.78947368421052,49.24719839450364,1.0,0.0,0.00030704296370888287,0.0007813793816654687
baseline,50,42,low_agents,0.0,0.0,0.0,50,6.48218000000001,1.624658666694424,1.5,2.705392566000398,1.0,0.0,0.0003104334123052184,0.006407532906695039
baseline,50,142,baseline_agents,0.0,0.0,0.0,50,12.139200000000008,0.5618349310926809,0.0,0.0,1.0,0.0,0.0001323348825901253,0.0007027246682264938
